Category Name,Category URL,Service Name,Service URL,Offer Name,Offer URL,Offer Stars,Offer Raters,Offer Response Time,Offer Buyers,Pending,Price,Duration,Reviews,Available Additions,Additions Price,Owner Name,Owner URL,Owner Verified,Owner Level,Owner Stars,Owner Raters,Owner Completion Rate,Owner Services,Owner Customers,Owner Response Time
كتابة وترجمة,https://khamsat.com/writing,الإنجليزية للعربية والعكس,https://khamsat.com/writing/english-arabic-translation,ترجمة طبية احترافية من اللغة الإنجليزية إلى العربية والعكس.,https://khamsat.com/writing/english-arabic-translation/2968251-%D8%AA%D8%B1%D8%AC%D9%85%D8%A9-%D8%B7%D8%A8%D9%8A%D8%A9-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%A5%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%B9%D9%83%D8%B3,5.0,1,ساعة,1,0,$5.00,ثلاثة أيام,1,4,110.0,.Mohamed K,https://khamsat.com/user/mohamedkamel2021,True,بائع جديد,5.0,1,100.0%,3,1,ساعة
كتابة وترجمة,https://khamsat.com/writing,الإنجليزية للعربية والعكس,https://khamsat.com/writing/english-arabic-translation,ترجمة من الإنجليزية للعربية والعكس,https://khamsat.com/writing/english-arabic-translation/604291-%D8%AA%D8%B1%D8%AC%D9%85%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D8%A5%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D9%84%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%B9%D9%83%D8%B3,4.5,67,4 ساعات,108,0,$5.00,يوم واحد,25,5,365.0,.Hisham S,https://khamsat.com/user/hisham-salah,True,بائع مميز,4.5,101,96.47%,3,124,12 ساعة
كتابة وترجمة,https://khamsat.com/writing,الإنجليزية للعربية والعكس,https://khamsat.com/writing/english-arabic-translation,الترجمة من العربية إلى الإنكليزية وبالعكس,https://khamsat.com/writing/english-arabic-translation/1914279-%D8%A7%D9%84%D8%AA%D8%B1%D8%AC%D9%85%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%A5%D9%86%D9%83%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D9%88%D8%A8%D8%A7%D9%84%D8%B9%D9%83%D8%B3,5.0,30,14 دقيقة,42,0,$5.00,يوم واحد,25,5,130.0,مهى ر.,https://khamsat.com/user/maha_ri84,True,بائع مميز,5.0,54,97.14%,7,53,6 ساعات
كتابة وترجمة,https://khamsat.com/writing,الإنجليزية للعربية والعكس,https://khamsat.com/writing/english-arabic-translation,ترجمة مقاطع الفيديو من الإنجليزية إلى العربية وتسليمها سريعا,https://khamsat.com/writing/english-arabic-translation/722276-%D8%AA%D8%B1%D8%AC%D9%85%D8%A9-%D9%85%D9%82%D8%A7%D8%B7%D8%B9-%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%85%D9%86-%D8%A7%D9%84%D8%A5%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%88%D8%AA%D8%B3%D9%84%D9%8A%D9%85%D9%87%D8%A7-%D8%B3%D8%B1%D9%8A%D8%B9%D8%A7,5.0,135,3 ساعات,153,0,$5.00,يوم واحد,25,5,130.0,محمد ا.,https://khamsat.com/user/dr.-mohamed-alsheikh,True,بائع مميز,5.0,151,95.66%,1,157,ساعتين
كتابة وترجمة,https://khamsat.com/writing,الإنجليزية للعربية والعكس,https://khamsat.com/writing/english-arabic-translation,ترجمة مقالات احترافية بين اللغة العربية والانجليزية,https://khamsat.com/writing/english-arabic-translation/2433135-%D8%AA%D8%B1%D8%AC%D9%85%D8%A9-%D9%85%D9%82%D8%A7%D9%84%D8%A7%D8%AA-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A%D8%A9-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%A7%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9,5.0,10,أقل من دقيقة,14,0,$5.00,يوم واحد,10,4,55.0,.Ebram A,https://khamsat.com/user/ebramadel,True,بائع مميز,5.0,62,89.33%,5,70,ساعة
كتابة وترجمة,https://khamsat.com/writing,الإنجليزية للعربية والعكس,https://khamsat.com/writing/english-arabic-translation,الترجمة من اللغة الإنجليزية إلى العربية والعكس,https://khamsat.com/writing/english-arabic-translation/420512-%D8%A7%D9%84%D8%AA%D8%B1%D8%AC%D9%85%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%A5%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%B9%D9%83%D8%B3,4.5,66,يوم,100,0,$10.00,يوم واحد,25,5,150.0,.Ismail S,https://khamsat.com/user/ahmed_ali21,True,بائع مميز,4.5,146,86.49%,2,185,8 ساعات
كتابة وترجمة,https://khamsat.com/writing,الإنجليزية للعربية والعكس,https://khamsat.com/writing/english-arabic-translation,ترجمة طبية من اللغة الانجليزية إلى اللغة العربية وتدقيق لغوي,https://khamsat.com/writing/english-arabic-translation/1662231-%D8%AA%D8%B1%D8%AC%D9%85%D8%A9-%D8%B7%D8%A8%D9%8A%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%A7%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%88%D8%AA%D8%AF%D9%82%D9%8A%D9%82-%D9%84%D8%BA%D9%88%D9%8A,4.5,41,15 ساعة,59,0,$5.00,يومين,25,5,160.0,.Sabren I,https://khamsat.com/user/sabrenelhabony,True,بائع مميز,4.5,49,95.4%,3,69,5 ساعات
كتابة وترجمة,https://khamsat.com/writing,الإنجليزية للعربية والعكس,https://khamsat.com/writing/english-arabic-translation,ترجمة كتب مقالات رسائل من الانجليزية إلي العربية والعكس,https://khamsat.com/writing/english-arabic-translation/3031861-%D8%AA%D8%B1%D8%AC%D9%85%D8%A9-%D9%83%D8%AA%D8%A8-%D9%85%D9%82%D8%A7%D9%84%D8%A7%D8%AA-%D8%B1%D8%B3%D8%A7%D8%A6%D9%84-%D9%85%D9%86-%D8%A7%D9%84%D8%A7%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D8%A5%D9%84%D9%8A-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%B9%D9%83%D8%B3,5.0,1,يوم,1,0,$5.00,يوم واحد,1,5,110.0,.Mohamed M,https://khamsat.com/user/mohamedmasoud1,True,بائع نشيط,4.5,15,86.49%,5,13,8 ساعات
كتابة وترجمة,https://khamsat.com/writing,الإنجليزية للعربية والعكس,https://khamsat.com/writing/english-arabic-translation,ترجمة طبية متخصصة من اللغة الإنجليزية للغة العربية والعكس,https://khamsat.com/writing/english-arabic-translation/517658-%D8%AA%D8%B1%D8%AC%D9%85%D8%A9-%D8%B7%D8%A8%D9%8A%D8%A9-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%A5%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%B9%D9%83%D8%B3,5.0,25,يوم,42,0,$5.00,ثلاثة أيام,25,4,380.0,.Reham E,https://khamsat.com/user/reham_elnagar,True,بائع مميز,5.0,126,94.6%,5,171,13 ساعة
كتابة وترجمة,https://khamsat.com/writing,الإنجليزية للعربية والعكس,https://khamsat.com/writing/english-arabic-translation,اترجم لك من العربية للإنجليزية في أسرع وقت,https://khamsat.com/writing/english-arabic-translation/825322-%D8%A7%D8%AA%D8%B1%D8%AC%D9%85-%D9%84%D9%83-%D9%85%D9%86-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%84%D9%84%D8%A5%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A3%D8%B3%D8%B1%D8%B9-%D9%88%D9%82%D8%AA,5.0,30,ساعة,46,0,$5.00,يوم واحد,25,5,90.0,.Hisham A,https://khamsat.com/user/hishama,True,بائع موثوق,5.0,258,88.26%,8,409,3 ساعات
